"","year","month","fleet","sex","partition","input_n","L10","L12","L14","L16","L18","L20","L22","L24","L26","L28","L30","L32","L34","L36","L38","L40","L42","L44","L46","L48","L50","L52","L54","L56","L58","L60","L62","L64","L66","L68","L70","L72","L74"
"1",2004,7,3,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
"2",2005,7,3,0,0,57,0,0,0,0,0,0,0,0,1,1,0,3,3,4,6,5,6,9,7,3,3,1,2,2,0,0,1,0,0,0,0,0,0
"3",2006,7,3,0,0,95,0,0,0,0,0,0,0,0,0,3,3,3,6,7,3,5,10,10,14,16,2,7,2,2,1,0,0,1,0,0,0,0,0
"4",2007,7,3,0,0,56,0,0,0,0,0,0,1,0,0,0,1,2,3,8,3,8,10,9,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0
"5",2008,7,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,2,3,5,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0
"6",2009,7,3,0,0,42,0,0,0,0,0,0,0,0,1,0,3,2,4,3,3,3,4,4,2,3,2,3,3,0,1,1,0,0,0,0,0,0,0
"7",2010,7,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
"8",2011,7,3,0,0,9,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"9",2012,7,3,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0
"10",2013,7,3,0,0,12,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"11",2014,7,3,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"12",2015,7,3,0,0,27,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,4,3,4,2,0,5,1,1,1,0,0,0,0,0,0,0,0
"13",2016,7,3,0,0,18,0,0,0,0,0,0,1,1,0,0,1,2,3,0,1,0,1,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
"14",2017,7,3,0,0,70,0,0,0,0,0,0,1,4,5,0,3,7,2,4,2,5,5,7,3,5,7,4,2,3,0,0,1,0,0,0,0,0,0
"15",2018,7,3,0,0,69,0,0,0,0,0,0,1,1,0,10,5,5,4,7,8,4,1,5,5,4,4,2,1,1,1,0,0,0,0,0,0,0,0
"16",2019,7,3,0,0,78,0,0,0,0,1,0,0,1,1,1,6,8,8,8,9,7,8,1,5,3,5,1,3,1,1,0,0,0,0,0,0,0,0
"17",2020,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2021,7,3,0,0,69,0,0,0,0,0,0,0,0,1,5,5,7,4,3,7,10,8,5,6,1,3,0,3,0,0,1,0,0,0,0,0,0,0
"19",2022,7,3,0,0,78,0,0,0,0,0,0,2,1,3,5,4,5,10,3,7,12,6,4,6,4,1,2,2,0,0,1,0,0,0,0,0,0,0
"20",2023,7,3,0,0,79,0,0,0,0,0,0,1,1,1,0,1,3,1,8,12,11,5,8,6,2,6,5,2,2,3,0,0,1,0,0,0,0,0
"21",2024,7,3,0,0,28,0,0,0,0,0,0,0,1,0,1,1,3,0,5,1,5,3,0,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0
